,train,test,activation,hidden_layer_sizes,Data Transformers
71,"[0.8543498711771829, 0.8045271084895174, 0.6279000588544701]","[0.8543498711771829, 0.8045271084895174, 0.6279000588544701]",logistic,"(12,)",age and complex body
72,"[0.8049803576128353, 0.857968639437219, 0.7034017342356589]","[0.8049803576128353, 0.857968639437219, 0.7034017342356589]",logistic,"(13,)",age and complex body
73,"[0.8358133050505695, 0.8301154598640469, 0.5844261309819367]","[0.8358133050505695, 0.8301154598640469, 0.5844261309819367]",logistic,"(14,)",age and complex body
74,"[0.8320806533802055, 0.8645965719219626, 0.6168190865493153]","[0.8320806533802055, 0.8645965719219626, 0.6168190865493153]",logistic,"(15,)",age and complex body
75,"[0.8471964461900415, 0.872689764467982, 0.6990864965539705]","[0.8471964461900415, 0.872689764467982, 0.6990864965539705]",relu,"(1,)",age and complex body
76,"[0.8245665664930766, 0.8293476003620366, 0.7634662543453147]","[0.8245665664930766, 0.8293476003620366, 0.7634662543453147]",relu,"(2,)",age and complex body
77,"[0.8667973706334583, 0.8564606730680233, 0.7535406338360728]","[0.8667973706334583, 0.8564606730680233, 0.7535406338360728]",relu,"(3,)",age and complex body
78,"[0.6908992177670197, 0.36453874487977234, 0.694843450580768]","[0.6908992177670197, 0.36453874487977234, 0.694843450580768]",relu,"(4,)",age and complex body
79,"[0.8068176416930586, 0.8197455194798716, 0.7349253614655262]","[0.8068176416930586, 0.8197455194798716, 0.7349253614655262]",relu,"(5,)",age and complex body
80,"[0.7576372281162528, 0.649538817386004, 0.5761649849008968]","[0.7576372281162528, 0.649538817386004, 0.5761649849008968]",relu,"(6,)",age and complex body
81,"[0.780517933138208, 0.5431743513815351, 0.4669493168785757]","[0.780517933138208, 0.5431743513815351, 0.4669493168785757]",relu,"(7,)",age and complex body
82,"[0.6085372164650766, 0.8038642986228355, 0.6582345674436578]","[0.6085372164650766, 0.8038642986228355, 0.6582345674436578]",relu,"(8,)",age and complex body
83,"[0.779648308256928, 0.7907692042653556, 0.6079188081710669]","[0.779648308256928, 0.7907692042653556, 0.6079188081710669]",relu,"(9,)",age and complex body
84,"[0.7607239102171036, 0.7564535384621893, 0.6689344780846377]","[0.7607239102171036, 0.7564535384621893, 0.6689344780846377]",relu,"(10,)",age and complex body
85,"[0.8041386406271123, 0.8411414131762682, 0.6107970159211397]","[0.8041386406271123, 0.8411414131762682, 0.6107970159211397]",relu,"(11,)",age and complex body
86,"[0.6863506554463333, 0.7583872081053646, 0.629224309146123]","[0.6863506554463333, 0.7583872081053646, 0.629224309146123]",relu,"(12,)",age and complex body
87,"[0.8179344749317815, 0.7569539808192438, 0.5995553439960496]","[0.8179344749317815, 0.7569539808192438, 0.5995553439960496]",relu,"(13,)",age and complex body
88,"[0.7528060235572358, 0.8188891312631108, 0.5146403900154695]","[0.7528060235572358, 0.8188891312631108, 0.5146403900154695]",relu,"(14,)",age and complex body
89,"[0.7643043859586411, 0.7650800052373347, 0.5819869191146698]","[0.7643043859586411, 0.7650800052373347, 0.5819869191146698]",relu,"(15,)",age and complex body
