file,landmark,x,y,z
CanCan02_B 2025-11-13_11-50-16.obj,r_ankle,-16.36363636,14.84863636,15.73
CanCan02_B 2025-11-13_11-50-16.obj,lShoulder,19.18,15.85,141.1
CanCan02_B 2025-11-13_11-50-16.obj,rShoulder,-15.07,16.04,141.87
CanCan02_B 2025-11-13_11-50-16.obj,collar,2.055,15.945,141.485
CanCan02_B 2025-11-13_11-50-16.obj,lowerBack,-0.1,25.16,87.38
CanCan02_B 2025-11-13_11-50-16.obj,nose_tip,0.55,1.21,158.9
CanCan08_A 2026-02-04_12-13-30.obj,r_wrist,-38.406,-5.488666667,91.09066667
CanCan08_A 2026-02-04_12-13-30.obj,l_wrist,35.648125,-1.949375,96.309375
CanCan08_A 2026-02-04_12-13-30.obj,r_armpit,-17.95624464,nan,130.0792903
CanCan08_A 2026-02-04_12-13-30.obj,l_armpit,18.36262416,nan,128.2204728
CanCan08_A 2026-02-04_12-13-30.obj,r_hip,-19.9,4.72,93.84347368
CanCan08_A 2026-02-04_12-13-30.obj,l_hip,18.71,5.68,93.84347368
CanCan08_A 2026-02-04_12-13-30.obj,r_foot,-22.89,9.88,-0.03
CanCan08_A 2026-02-04_12-13-30.obj,l_foot,22.02,-10.77,-0.01
CanCan08_A 2026-02-04_12-13-30.obj,crotch,0.23,5.35,82.40954833
CanCan08_A 2026-02-04_12-13-30.obj,l_ankle,14.87368421,9.097894737,15.48578947
CanCan08_A 2026-02-04_12-13-30.obj,r_ankle,-14.5365,9.772,13.7375
CanCan08_A 2026-02-04_12-13-30.obj,lShoulder,18.5,8.61,152.6
CanCan08_A 2026-02-04_12-13-30.obj,rShoulder,-18.82,6.66,151.43
CanCan08_A 2026-02-04_12-13-30.obj,collar,-0.16,7.635,152.015
CanCan08_A 2026-02-04_12-13-30.obj,lowerBack,-0.26,20.48,92.78
CanCan08_A 2026-02-04_12-13-30.obj,nose_tip,0.27,-10.94,166.92
CanCan08_B 2026-02-04_12-21-25.obj,r_wrist,-37.53083333,4.5625,100.31
CanCan08_B 2026-02-04_12-21-25.obj,l_wrist,37.89769231,0.79,95.48538462
